	passenger_count	trip_distance	tip_amount	total_amount	tip_percentage
262	3	12.72	0.0	43.8	0.0
263	6	3.11	0.0	21.3	0.0
264	1	13.4	9.55	47.85	0.19958202716823406
265	1	1.24	0.0	8.3	0.0
266	6	10.77	7.06	42.36	0.16666666666666666
267	6	0.59	0.0	5.3	0.0
268	1	1.34	1.96	11.76	0.16666666666666666
269	1	1.1	1.56	9.36	0.16666666666666669
270	1	1.35	2.7	13.5	0.2
271	1	10.3	0.0	31.3	0.0
272	5	0.5	0.0	9.8	0.0
273	1	0.69	3.0	13.3	0.22556390977443608
274	3	0.33	1.74	7.54	0.23076923076923075
275	1	0.7	0.0	9.3	0.0
276	1	0.8	0.0	7.3	0.0
277	1	3.1	0.0	17.8	0.0
278	1	0.8	0.0	6.3	0.0
279	5	1.53	0.0	9.3	0.0
280	1	3.4	2.55	15.35	0.16612377850162866
281	1	5.7	0.0	20.3	0.0
282	1	13.3	9.55	47.85	0.19958202716823406
283	2	8.15	5.96	35.76	0.16666666666666669
284	5	1.89	4.06	24.36	0.16666666666666666
285	1	3.9	5.57	27.87	0.19985647649802654
286	2	9.96	9.07	54.41	0.16669729829075539
287	1	1.5	3.08	15.38	0.200260078023407
288	1	0.7	1.49	9.79	0.15219611848825335
289	1	1.47	0.0	11.8	0.0
290	1	0.83	4.59	19.89	0.23076923076923075
291	1	1.89	0.0	11.8	0.0
292	1	0.67	0.0	7.3	0.0
293	1	2.5	2.0	16.3	0.12269938650306748
294	1	1.2	0.0	12.8	0.0
295	1	3.8	4.15	24.95	0.16633266533066135
296	1	10.4	3.0	39.63	0.07570022710068129
297	2	0.0	0.0	2.3	0.0
298	6	1.05	2.79	12.09	0.23076923076923078
299	1	2.04	2.76	16.56	0.16666666666666666
300	2	2.71	0.0	15.3	0.0
301	2	3.09	0.0	14.3	0.0
302	1	0.5	1.7	7.5	0.22666666666666666
303	1	11.08	10.37	62.21	0.16669345764346566
304	1	4.6	0.0	19.3	0.0
305	1	0.7	0.0	8.3	0.0
306	2	1.04	0.0	11.8	0.0
307	2	0.75	1.89	8.19	0.23076923076923078
308	1	2.1	0.0	12.8	0.0
309	6	1.78	5.32	26.62	0.19984973703981967
310	1	1.5	0.0	8.8	0.0
311	1	2.12	2.96	17.76	0.16666666666666666
312	2	3.82	0.0	15.3	0.0
313	1	1.8	2.38	14.18	0.16784203102961917
