	passenger_count	trip_distance	total_amount
679	1	0.8	9.8
680	1	1.0	11.15
681	1	2.0	14.75
682	1	2.3	16.55
683	6	0.68	6.3
684	1	6.3	32.75
685	1	0.9	7.3
686	1	1.0	8.8
687	2	1.08	10.3
688	1	0.6	6.62
689	2	1.04	13.5
690	2	1.9	11.8
691	1	7.09	35.34
692	1	4.29	36.36
693	1	1.1	12.35
694	6	2.25	12.3
695	5	1.65	10.8
696	2	1.81	10.3
697	1	1.07	7.8
698	1	1.34	9.3
699	5	4.71	26.16
700	1	0.82	6.3
701	2	2.02	18.5
702	5	0.97	6.8
703	1	1.5	13.3
704	1	1.6	14.15
705	1	0.48	8.76
706	2	1.1	8.3
707	6	2.51	16.8
708	5	0.0	5.8
709	1	0.7	8.3
710	6	0.84	7.3
711	1	9.4	52.61
712	1	0.7	9.95
713	1	1.8	14.76
714	1	0.7	8.75
715	1	0.9	7.8
716	1	1.8	11.3
717	2	1.69	11.16
718	1	0.8	8.8
719	6	3.67	19.3
720	1	1.3	10.35
721	1	1.47	17.16
722	1	0.9	6.8
723	1	17.2	72.92
724	1	1.68	11.8
725	1	1.8	16.0
726	1	0.8	8.75
727	1	3.2	22.3
728	1	7.1	28.55
729	1	1.89	12.5
730	1	1.7	13.55
731	1	1.1	12.96
732	1	0.64	6.96
733	1	1.21	7.3
734	1	0.9	10.3
735	2	0.77	6.3
736	5	4.27	29.75
737	1	3.2	27.8
738	1	1.8	15.3
739	1	2.3	16.55
740	3	1.1	8.8
741	1	0.63	16.56
742	1	1.6	10.3
743	1	1.1	11.75
744	1	4.38	24.3
745	1	4.2	23.3
746	1	1.95	11.8
747	1	0.73	11.16
748	1	3.0	14.55
749	1	2.57	23.16
750	1	0.7	11.16
751	2	3.51	19.3
752	1	1.2	7.8
753	1	4.82	16.3
754	1	4.8	27.8
755	1	1.06	9.3
756	1	4.93	29.16
757	5	0.68	6.3
758	2	2.3	14.16
759	1	1.39	11.0
760	1	2.0	16.56
761	1	1.33	12.96
762	4	0.8	7.3
763	1	0.97	9.3
764	2	1.86	13.3
765	1	2.1	10.3
766	1	3.54	25.0
767	1	0.6	9.3
768	1	1.0	7.8
769	1	0.6	4.8
770	5	0.43	6.8
771	1	3.0	19.75
772	1	5.8	28.56
773	1	1.6	13.56
774	2	1.28	8.8
775	2	2.19	17.76
776	1	1.3	12.8
777	1	0.8	9.3
778	1	2.8	20.75
779	1	1.38	10.56
780	1	0.9	13.56
781	2	4.1	29.75
782	1	2.0	13.8
783	2	7.46	30.96
784	1	1.0	7.8
785	1	0.95	9.96
786	1	1.62	11.8
787	1	2.1	18.3
788	1	2.0	15.3
789	1	0.9	13.8
790	1	1.09	10.56
791	1	3.1	30.3
792	6	0.52	7.56
793	5	0.94	8.16
794	1	1.87	13.5
795	2	2.7	19.8
796	1	0.99	8.76
797	1	2.0	15.0
798	4	0.69	5.3
799	1	5.93	22.8
800	1	1.69	7.8
801	1	1.8	11.3
802	1	2.81	15.96
803	1	4.67	20.8
804	1	1.75	11.3
805	1	0.2	4.3
806	1	4.21	19.56
807	1	2.6	16.0
808	1	4.3	23.15
809	1	35.51	135.13
810	1	4.16	24.3
811	1	0.7	11.6
812	1	1.5	11.3
813	1	1.4	10.8
814	1	2.72	18.17
815	1	5.51	20.8
816	1	0.8	10.8
817	1	1.7	10.56
818	1	3.71	17.76
819	1	2.5	18.5
820	1	2.49	18.3
821	1	6.7	27.05
822	1	0.31	7.88
823	1	5.2	11.76
824	1	3.5	25.8
825	1	1.81	12.8
826	1	1.36	14.76
827	1	1.2	9.8
828	1	0.9	6.8
829	1	0.9	6.3
830	1	0.3	5.55
831	2	1.0	7.3
832	2	3.15	19.3
833	1	1.38	12.0
834	1	1.09	10.14
835	1	1.4	11.8
836	4	2.04	8.8
837	1	2.21	22.56
838	2	4.28	33.36
839	2	0.97	9.36
840	2	14.53	47.8
841	1	2.4	13.55
842	5	0.8	8.3
843	1	3.5	17.75
844	1	1.6	11.3
845	1	0.77	8.8
846	4	2.79	24.8
847	1	3.9	17.76
848	1	1.93	17.88
849	2	10.74	43.84
850	6	4.35	20.76
851	1	1.2	14.75
852	1	0.7	11.6
853	1	2.19	9.8
854	1	3.8	22.8
855	1	0.6	10.35
856	1	1.39	12.8
857	1	0.8	11.3
858	1	0.7	6.35
859	1	1.4	11.3
860	1	0.8	11.0
861	1	1.7	13.56
862	3	0.5	5.3
863	2	1.4	11.15
864	1	2.2	12.8
865	1	1.4	9.36
866	1	1.2	9.8
867	2	3.77	23.16
868	1	0.8	8.3
869	1	1.67	15.96
870	1	1.03	7.8
871	1	2.6	19.3
872	1	0.5	6.8
873	6	1.13	12.25
874	1	5.09	21.36
875	2	1.25	10.8
876	1	1.7	13.3
877	1	1.6	11.3
878	2	1.6	10.3
879	2	13.26	49.84
880	1	6.1	25.8
881	1	1.45	14.16
882	1	1.0	9.36
883	1	2.22	13.3
884	1	11.68	58.01
885	1	1.2	11.75
886	2	0.7	9.8
887	1	17.7	58.34
888	1	17.56	70.01
889	1	1.58	11.76
890	1	1.6	10.8
891	2	2.9	13.8
892	1	3.28	20.8
893	3	1.32	10.8
894	1	0.3	6.8
895	1	1.23	11.44
896	1	0.8	8.8
897	3	0.7	7.8
898	1	0.49	8.16
899	1	0.6	5.8
900	2	0.49	6.8
901	1	1.02	9.8
902	1	3.2	16.3
903	2	2.57	15.3
904	1	10.74	48.96
905	1	2.95	17.76
906	1	0.9	10.14
907	1	2.0	15.35
908	1	0.45	5.55
909	1	0.87	7.3
910	1	1.8	15.35
911	1	4.6	18.35
912	1	8.5	48.84
913	1	0.4	4.8
914	1	0.3	5.8
915	1	0.9	11.3
916	4	5.24	21.8
917	1	1.0	7.8
918	1	8.8	48.84
919	5	1.21	8.16
920	1	8.6	45.99
921	1	1.1	9.36
922	5	3.54	24.36
923	1	0.6	8.8
924	1	2.04	12.3
925	2	1.68	14.3
926	1	2.69	13.56
927	2	0.77	9.96
928	2	6.41	23.3
929	1	2.2	11.8
930	1	1.9	13.3
931	6	1.13	15.3
932	2	0.93	9.36
933	4	1.15	8.8
934	1	0.93	11.0
935	6	10.64	52.92
936	1	1.49	14.8
937	1	0.6	6.3
938	2	0.9	8.3
939	2	2.8	16.0
940	1	1.6	14.3
941	1	1.3	12.8
942	1	0.96	8.3
943	1	1.38	12.96
944	1	0.55	5.8
945	1	3.0	17.8
946	2	2.0	15.8
947	1	7.7	26.3
948	1	12.4	58.6
949	1	0.51	7.3
950	1	0.5	6.3
951	1	0.9	7.3
952	5	1.67	15.36
953	3	2.5	16.8
954	1	1.0	8.16
955	1	1.1	9.3
956	5	2.45	15.36
957	1	0.6	6.95
958	1	1.73	15.36
959	2	0.92	8.3
960	1	10.6	60.14
961	1	0.8	6.8
962	1	1.2	9.8
963	1	9.3	50.16
964	2	1.19	13.8
965	3	1.12	22.88
966	1	1.87	19.3
967	1	0.79	8.16
968	1	2.5	19.8
969	1	8.5	43.34
970	1	2.07	12.3
971	1	1.25	13.3
972	2	1.5	10.8
973	1	0.63	8.3
974	5	0.97	11.3
975	3	1.3	15.35
976	1	1.1	14.75
977	1	7.2	35.0
978	1	1.4	11.8
979	3	1.13	12.96
980	1	0.0	3.8
981	2	4.1	17.8
982	6	1.31	11.62
983	5	5.44	20.0
984	1	0.87	7.56
985	1	0.9	8.8
986	1	0.78	6.8
987	1	2.9	18.35
988	1	2.49	15.36
989	1	0.67	5.8
990	1	1.14	7.8
991	2	5.41	19.8
992	2	0.92	9.8
993	3	0.55	5.3
994	1	0.81	9.3
995	1	18.04	52.8
996	2	1.12	9.36
997	1	1.77	20.76
998	1	2.1	11.84
999	4	1.83	16.0
1000	1	2.2	18.96
1001	1	0.3	4.3
1002	1	1.3	12.74
1003	1	2.17	10.3
1004	2	3.3	16.3
1005	1	1.07	11.16
1006	1	0.7	8.8
